Country,Year,E_Waste_per_capita,GNI_per_capita,Internet_Users
Senegal,2019,1.1,1430.0,43.4
Senegal,2020,1.132,1440.0,53.3088
Senegal,2021,1.166,1530.0,57.2554
Senegal,2022,1.2,1600.0,59.2246
Senegal,2023,1.235,1630.0,60.6122
Serbia,2019,9.3,7380.0,77.4168
Serbia,2020,9.591,7790.0,78.368
Serbia,2021,9.891,8890.0,81.1659
Serbia,2022,10.2,9790.0,83.5383
Serbia,2023,10.519,10750.0,85.3575
Serbia,2024,10.848,11610.0,87.6907
Seychelles,2019,13.7,18700.0,76.6
Seychelles,2020,13.865,15400.0,84.8223
Seychelles,2021,14.031,14950.0,87.3383
Seychelles,2022,14.2,14700.0,87.0353
Seychelles,2023,14.371,16400.0,87.4009
Sierra Leone,2019,0.5,850.0,15.7137
Sierra Leone,2020,0.531,840.0,17.1208
Sierra Leone,2021,0.565,890.0,18.6539
Sierra Leone,2022,0.6,920.0,19.2287
Sierra Leone,2023,0.638,870.0,20.635
Singapore,2019,19.9,58430.0,88.9493
Singapore,2020,19.664,55780.0,92.0043
Singapore,2021,19.431,65010.0,96.9247
Singapore,2022,19.2,66910.0,95.9539
Singapore,2023,18.972,69850.0,94.2852
Singapore,2024,18.747,74750.0,94.3776
Slovakia,2019,15.4,19230.0,82.8537
Slovakia,2020,16.101,19420.0,89.9209
Slovakia,2021,16.834,21010.0,88.9256
Slovakia,2022,17.6,21890.0,89.0677
Slovakia,2023,18.401,22710.0,87.2131
Slovakia,2024,19.239,23560.0,89.8251
Slovenia,2019,16.0,25900.0,83.1084
Slovenia,2020,16.61,25380.0,86.6013
Slovenia,2021,17.243,28320.0,89.004
Slovenia,2022,17.9,29590.0,88.9125
Slovenia,2023,18.582,31020.0,90.3779
Slovenia,2024,19.29,31790.0,90.7636
Solomon Islands,2019,1.0,2210.0,26.3406
Solomon Islands,2020,1.063,2170.0,33.1974
Solomon Islands,2021,1.129,2120.0,41.8392
Solomon Islands,2022,1.2,2010.0,42.094
Solomon Islands,2023,1.275,1980.0,42.4597
South Africa,2019,7.1,6570.0,69.6969
South Africa,2020,7.449,5930.0,72.1128
South Africa,2021,7.816,6320.0,74.9686
South Africa,2022,8.2,6530.0,75.4556
South Africa,2023,8.603,6490.0,75.6592
Spain,2019,19.0,30560.0,90.7187
Spain,2020,19.738,27410.0,93.2056
Spain,2021,20.504,30380.0,93.8975
Spain,2022,21.3,32690.0,94.4855
Spain,2023,22.127,32980.0,95.4456
Spain,2024,22.986,33550.0,95.7575
Sri Lanka,2019,6.4,4220.0,32.0
Sri Lanka,2020,6.894,3880.0,36.1847
Sri Lanka,2021,7.427,4010.0,44.4531
Sri Lanka,2022,8.0,3620.0,48.3
Sri Lanka,2023,8.618,3530.0,51.2
Sudan,2019,1.0,720.0,25.9
Sudan,2020,1.0,600.0,26.4383
Suriname,2019,8.9,6000.0,62.0
Suriname,2020,9.222,4710.0,69.8369
Suriname,2021,9.555,4490.0,76.572
Suriname,2022,9.9,5040.0,77.6494
Suriname,2023,10.258,5210.0,78.3958
Sweden,2019,20.1,56100.0,94.4934
Sweden,2020,20.396,54590.0,94.5394
Sweden,2021,20.696,59840.0,94.6703
Sweden,2022,21.0,61920.0,95.0097
Sweden,2023,21.309,60300.0,95.7033
Sweden,2024,21.622,58190.0,95.5293
Switzerland,2019,23.4,83160.0,93.1461
Switzerland,2020,22.993,81740.0,94.3499
Switzerland,2021,22.593,89120.0,95.5694
Switzerland,2022,22.2,95600.0,96.4528
Switzerland,2023,21.814,95740.0,97.3444
Syrian Arab Republic,2019,3.5,970.0,34.65
Tajikistan,2020,1.752,1030.0,27.5441
Tajikistan,2021,1.918,1130.0,49.8409
Tajikistan,2022,2.1,1360.0,53.1078
Tajikistan,2023,2.299,1400.0,56.791
Thailand,2019,9.3,7060.0,66.6524
Thailand,2020,9.835,6900.0,77.8437
Thailand,2021,10.401,7090.0,85.2696
Thailand,2022,11.0,7210.0,87.9772
Thailand,2023,11.633,7190.0,89.5353
Thailand,2024,12.303,7100.0,90.8672
Timor-Leste,2019,1.3,2180.0,28.0046
Timor-Leste,2020,1.393,2040.0,32.0127
Timor-Leste,2021,1.493,2050.0,35.042
Timor-Leste,2022,1.6,1820.0,34.5102
Timor-Leste,2023,1.715,1900.0,34.0207
Togo,2019,0.8,860.0,20.7273
Togo,2020,0.832,870.0,29.0237
Togo,2021,0.865,930.0,30.3384
Togo,2022,0.9,1000.0,35.5105
Togo,2023,0.936,1050.0,37.0223
Tonga,2021,3.261,5240.0,57.5486
Tonga,2022,3.4,5390.0,57.7181
Tonga,2023,3.545,5910.0,58.5334
Trinidad and Tobago,2019,13.5,17240.0,75.0
Trinidad and Tobago,2020,13.599,15040.0,77.2813
Trinidad and Tobago,2021,13.699,16310.0,84.3658
Trinidad and Tobago,2022,13.8,17460.0,84.4957
Trinidad and Tobago,2023,13.901,19920.0,84.6994
Tunisia,2019,5.9,3590.0,66.7
Tunisia,2020,6.03,3270.0,68.5564
Tunisia,2021,6.164,3640.0,68.3155
Tunisia,2022,6.3,3890.0,70.5532
Tunisia,2023,6.439,3850.0,72.3542
Turkey,2019,10.2,9970.0,73.9767
Turkey,2020,10.585,9330.0,77.6696
Turkey,2021,10.985,10240.0,81.4084
Turkey,2022,11.4,10870.0,83.4372
Turkey,2023,11.831,11980.0,85.9607
Turkey,2024,12.277,13460.0,87.3079
Tuvalu,2019,1.5,6880.0,50.7996
Tuvalu,2020,1.623,6880.0,61.0265
Tuvalu,2021,1.756,7510.0,73.3124
Tuvalu,2022,1.9,8100.0,73.5846
Tuvalu,2023,2.056,8770.0,74.3146
Uganda,2020,0.732,820.0,7.4
Uganda,2021,0.765,860.0,10.0
Uganda,2022,0.8,930.0,11.1246
Uganda,2023,0.836,970.0,15.2524
Uganda,2024,0.874,1020.0,8.94983
Ukraine,2019,9.1,3270.0,70.1248
Ukraine,2020,9.453,3530.0,75.0379
Ukraine,2021,9.819,4060.0,79.2183
Ukraine,2022,10.2,3930.0,82.6753
Ukraine,2023,10.595,4980.0,82.3755
United Arab Emirates,2019,16.2,46690.0,99.15
United Arab Emirates,2020,16.559,41310.0,100.0
United Arab Emirates,2021,16.925,43230.0,100.0
United Arab Emirates,2022,17.3,46990.0,100.0
United Arab Emirates,2023,17.683,51100.0,100.0
United Arab Emirates,2024,18.075,51550.0,100.0
United Kingdom,2019,23.9,43640.0,92.5166
United Kingdom,2020,24.066,39340.0,94.8182
United Kingdom,2021,24.232,45870.0,96.1965
United Kingdom,2022,24.4,49720.0,96.2989
United Kingdom,2023,24.569,48830.0,96.2988
United States,2019,21.0,65880.0,89.4303
United States,2020,21.1,64920.0,90.3447
United States,2021,21.2,71730.0,91.2684
United States,2022,21.3,77330.0,92.2016
United States,2023,21.401,80000.0,93.1444
Uruguay,2019,10.5,18390.0,83.3515
Uruguay,2020,10.917,16130.0,85.471
Uruguay,2021,11.35,16220.0,87.6444
Uruguay,2022,11.8,17970.0,89.873
Uruguay,2023,12.268,19880.0,89.896
Uruguay,2024,12.755,21650.0,91.9911
Uzbekistan,2019,2.4,2150.0,70.4
Uzbekistan,2020,2.614,2000.0,71.1
Uzbekistan,2021,2.847,2250.0,76.5904
Uzbekistan,2022,3.1,2500.0,83.9
Uzbekistan,2023,3.376,2750.0,89.0136
Vanuatu,2019,1.1,3740.0,37.5081
Vanuatu,2020,1.163,3390.0,41.3916
Vanuatu,2021,1.23,3500.0,45.6772
Vanuatu,2022,1.3,3830.0,45.6747
Vanuatu,2023,1.374,3890.0,45.7313
Vietnam,2019,2.7,3290.0,68.6616
Vietnam,2020,3.026,3400.0,70.3
Vietnam,2021,3.391,3540.0,74.21
Vietnam,2022,3.8,3980.0,78.59
Vietnam,2023,4.259,4150.0,78.08
Vietnam,2024,4.772,4490.0,84.15
Zambia,2019,1.0,1380.0,18.7
Zambia,2020,1.032,1120.0,24.5
Zambia,2021,1.066,1040.0,32.5
Zambia,2022,1.1,1170.0,15.0
Zambia,2023,1.136,1270.0,33.0
Zimbabwe,2019,1.1,2430.0,26.5883
Zimbabwe,2020,1.1,1980.0,29.2986
Zimbabwe,2021,1.1,2320.0,37.0967
Zimbabwe,2022,1.1,2580.0,37.8861
Zimbabwe,2023,1.1,2550.0,38.4266
